id,province_id,name_th,name_en
378,28,ภูเวียง,Phu Wiang
379,28,มัญจาคีรี,Mancha Khiri
380,28,ชนบท,Chonnabot
381,28,เขาสวนกวาง,Khao Suan Kwang
382,28,ภูผาม่าน,Phu Pha Man
383,28,ซำสูง,Sam Sung
384,28,โคกโพธิ์ไชย,Khok Pho Chai
385,28,หนองนาคำ,Nong Na Kham
386,28,บ้านแฮด,Ban Haet
387,28,โนนศิลา,Non Sila
388,28,เวียงเก่า,Wiang Kao
389,29,เมืองอุดรธานี,Mueang Udon Thani
390,29,กุดจับ,Kut Chap
391,29,หนองวัวซอ,Nong Wua So
392,29,กุมภวาปี,Kumphawapi
393,29,โนนสะอาด,Non Sa-at
394,29,หนองหาน,Nong Han
395,29,ทุ่งฝน,Thung Fon
396,29,ไชยวาน,Chai Wan
397,29,ศรีธาตุ,Si That
398,29,วังสามหมอ,Wang Sam Mo
399,29,บ้านดุง,Ban Dung
400,29,บ้านผือ,Ban Phue
401,29,น้ำโสม,Nam Som
402,29,เพ็ญ,Phen
403,29,สร้างคอม,Sang Khom
404,29,หนองแสง,Nong Saeng
405,29,นายูง,Na Yung
406,29,พิบูลย์รักษ์,Phibun Rak
407,29,กู่แก้ว,Ku Kaeo
408,29,ประจักษ์ศิลปาคม,rachak-sinlapakhom
409,30,เมืองเลย,Mueang Loei
410,30,นาด้วง,Na Duang
411,30,เชียงคาน,Chiang Khan
412,30,ปากชม,Pak Chom
413,30,ด่านซ้าย,Dan Sai
414,30,นาแห้ว,Na Haeo
415,30,ภูเรือ,Phu Ruea
416,30,ท่าลี่,Tha Li
417,30,วังสะพุง,Wang Saphung
418,30,ภูกระดึง,Phu Kradueng
419,30,ภูหลวง,Phu Luang
420,30,ผาขาว,Pha Khao
421,30,เอราวัณ,Erawan
422,30,หนองหิน,Nong Hin
423,31,เมืองหนองคาย,Mueang Nong Khai
424,31,ท่าบ่อ,Tha Bo
425,31,โพนพิสัย,Phon Phisai
426,31,ศรีเชียงใหม่,Si Chiang Mai
427,31,สังคม,Sangkhom
428,31,สระใคร,Sakhrai
429,31,เฝ้าไร่,Fao Rai
430,31,รัตนวาปี,Rattanawapi
431,31,โพธิ์ตาก,Pho Tak
432,32,เมืองมหาสารคาม,Mueang Maha Sarakham
433,32,แกดำ,Kae Dam
434,32,โกสุมพิสัย,Kosum Phisai
435,32,กันทรวิชัย,Kantharawichai
436,32,เชียงยืน,Kantharawichai
437,32,บรบือ,Borabue
438,32,นาเชือก,Na Chueak
439,32,พยัคฆภูมิพิสัย,Phayakkhaphum Phisai
440,32,วาปีปทุม,Wapi Pathum
441,32,นาดูน,Na Dun
442,32,ยางสีสุราช,Yang Sisurat
443,32,กุดรัง,Kut Rang
444,32,ชื่นชม,Chuen Chom
445,33,เมืองร้อยเอ็ด,Mueang Roi Et
446,33,เกษตรวิสัย,Kaset Wisai
447,33,ปทุมรัตต์,Pathum Rat
448,33,จตุรพักตรพิมาน,Chaturaphak Phiman
449,33,ธวัชบุรี,Thawat Buri
450,33,พนมไพร,Phanom Phrai
451,33,โพนทอง,Phon Thong
452,33,โพธิ์ชัย,Pho Chai
453,33,หนองพอก,Nong Phok
454,33,เสลภูมิ,Selaphum
455,33,สุวรรณภูมิ,Suwannaphum
456,33,เมืองสรวง,Mueang Suang
457,33,โพนทราย,Phon Sai
458,33,อาจสามารถ,At Samat
459,33,เมยวดี,Moei Wadi
460,33,ศรีสมเด็จ,Si Somdet
461,33,จังหาร,Changhan
462,33,เชียงขวัญ,Chiang Khwan
463,33,หนองฮี,Nong Hi
464,33,ทุ่งเขาหลวง,Thung Khao Luangกิ่
465,34,เมืองกาฬสินธุ์,Mueang Kalasin
466,34,นามน,Na Mon
467,34,กมลาไสย,Kamalasai
468,34,ร่องคำ,Rong Kham
469,34,กุฉินารายณ์,Kuchinarai
470,34,เขาวง,Khao Wong
471,34,ยางตลาด,Yang Talat
472,34,ห้วยเม็ก,Huai Mek
473,34,สหัสขันธ์,Sahatsakhan
474,34,คำม่วง,Kham Muang
475,34,ท่าคันโท,Tha Khantho
476,34,หนองกุงศรี,Nong Kung Si
477,34,สมเด็จ,Somdet
478,34,ห้วยผึ้ง,Huai Phueng
479,34,สามชัย,Sam Chai
480,34,นาคู,Na Khu
481,34,ดอนจาน,Don Chan
482,34,ฆ้องชัย,Khong Chai
483,35,เมืองสกลนคร,Mueang Sakon Nakhon
484,35,กุสุมาลย์,Kusuman
485,35,กุดบาก,Kut Bak
486,35,พรรณานิคม,Phanna Nikhom
487,35,พังโคน,Phang Khon
488,35,วาริชภูมิ,Waritchaphum
489,35,นิคมน้ำอูน,Nikhom Nam Un
490,35,วานรนิวาส,Wanon Niwat
491,35,คำตากล้า,Kham Ta Kla
492,35,บ้านม่วง,Ban Muang
493,35,อากาศอำนวย,Akat Amnuai
494,35,สว่างแดนดิน,Sawang Daen Din
495,35,ส่องดาว,Song Dao
496,35,เต่างอย,Tao Ngoi
497,35,โคกศรีสุพรรณ,Khok Si Suphan
498,35,เจริญศิลป์,Charoen Sin
499,35,โพนนาแก้ว,Phon Na Kaeo
500,35,ภูพาน,Phu Phan
501,36,เมืองนครพนม,Mueang Nakhon Phanom
502,36,ปลาปาก,Pla Pak
503,36,ท่าอุเทน,Tha Uthen
504,36,บ้านแพง,Ban Phaeng
505,36,ธาตุพนม,That Phanom
506,36,เรณูนคร,Renu Nakhon
507,36,นาแก,Na Kae
508,36,ศรีสงคราม,Si Songkhram
509,36,นาหว้า,Na Wa
510,36,โพนสวรรค์,Phon Sawan
511,36,นาทม,Na Thom
512,36,วังยาง,Wang Yang
513,37,เมืองมุกดาหาร,Mueang Mukdahan
514,37,นิคมคำสร้อย,Nikhom Kham Soi
515,37,ดอนตาล,Don Tan
516,37,ดงหลวง,Dong Luang
517,37,คำชะอี,Khamcha-i
518,37,หว้านใหญ่,Wan Yai
519,37,หนองสูง,Nong Sung
520,38,เมืองเชียงใหม่,Mueang Chiang Mai
521,38,จอมทอง,Chom Thong
522,38,แม่แจ่ม,Mae Chaem
523,38,เชียงดาว,Chiang Dao
524,38,ดอยสะเก็ด,Doi Saket
525,38,แม่แตง,Mae Taeng
526,38,แม่ริม,Mae Rim
527,38,สะเมิง,Samoeng
528,38,ฝาง,Fang
529,38,แม่อาย,Mae Ai
530,38,พร้าว,Phrao
531,38,สันป่าตอง,San Pa Tong
532,38,สันกำแพง,San Kamphaeng
533,38,สันทราย,San Sai
534,38,หางดง,Hang Dong
535,38,ฮอด,Hot
536,38,ดอยเต่า,Doi Tao
537,38,อมก๋อย,Omkoi
538,38,สารภี,Saraphi
539,38,เวียงแหง,Wiang Haeng
540,38,ไชยปราการ,Chai Prakan
541,38,แม่วาง,Mae Wang
542,38,แม่ออน,Mae On
543,38,ดอยหล่อ,Doi Lo
